Date,Party Name,Region,Stock ID,Stock Name,Rate,Quantity,Units,Amount
2023-01-01,RideElectric LLP,West,EVS000007,ChargeGo Pro,107569,2,Nos,215138
2023-01-01,EcoMotion Pvt Ltd,"North ",EVS000010,SwiftVolt 100,88160,1,Nos,88160
2023-01-01,VoltWay Dealers,West,EVS000009,EcoZoom Lite,107895,3,Nos,323685
2023-01-01,NextGen Auto,West,EVS000002,EcoZoom Lite,120403,3,Nos,361209
2023-01-01,GreenRide Motors,"North ",EVS000003,E-Velo X1,105846,1,Nos,105846
2023-01-01,GreenRide Motors,East,EVS000006,EcoZoom Lite,87830,2,Nos,175660
2023-01-01,UrbanEV Wheels,South,EVS000004,EcoZoom Lite,122796,2,Nos,245592
2023-01-01,GreenRide Motors,South,EVS000005,SwiftVolt 100,107682,2,Nos,215364
2023-01-01,UrbanEV Wheels,East,EVS000001,EcoZoom Lite,101214,2,Nos,202428
2023-01-01,NextGen Auto,West,EVS000008,E-Velo X1,114655,3,Nos,343965
2023-01-02,EcoMotion Pvt Ltd,"North ",EVS000029,SwiftVolt 100,105217,2,Nos,210434
2023-01-02,RideElectric LLP,South,EVS000027,SwiftVolt 100,105611,2,Nos,211222
2023-01-02,VoltWay Dealers,"North ",EVS000015,E-Velo X1,92356,2,Nos,184712
2023-01-02,UrbanEV Wheels,"North ",EVS000012,EcoZoom Lite,99626,3,Nos,298878
2023-01-02,RideElectric LLP,West,EVS000014,EcoZoom Lite,91034,3,Nos,273102
2023-01-02,EcoMotion Pvt Ltd,"North ",EVS000031,SwiftVolt 100,124448,1,Nos,124448
2023-01-02,RideElectric LLP,South,EVS000018,SwiftVolt 100,98633,1,Nos,98633
2023-01-02,UrbanEV Wheels,"North ",EVS000019,SwiftVolt 100,108602,3,Nos,325806
2023-01-02,VoltWay Dealers,South,EVS000022,EcoZoom Lite,104244,3,Nos,312732
2023-01-02,NextGen Auto,"North ",EVS000020,Thunder EV 2.0,118042,2,Nos,236084
2023-01-02,GreenRide Motors,East,EVS000011,E-Velo X1,112471,2,Nos,224942
2023-01-02,EcoMotion Pvt Ltd,East,EVS000017,ChargeGo Pro,125733,2,Nos,251466
2023-01-02,UrbanEV Wheels,South,EVS000016,ChargeGo Pro,128315,1,Nos,128315
2023-01-02,VoltWay Dealers,South,EVS000021,EcoZoom Lite,86603,3,Nos,259809
2023-01-02,UrbanEV Wheels,South,EVS000030,Thunder EV 2.0,93612,2,Nos,187224
2023-01-02,NextGen Auto,"North ",EVS000013,E-Velo X1,114412,3,Nos,343236
2023-01-02,NextGen Auto,"North ",EVS000028,ChargeGo Pro,125931,3,Nos,377793
2023-01-02,NextGen Auto,West,EVS000026,Thunder EV 2.0,104134,1,Nos,104134
2023-01-02,GreenRide Motors,"North ",EVS000025,SwiftVolt 100,123550,2,Nos,247100
2023-01-02,UrbanEV Wheels,East,EVS000024,E-Velo X1,98906,1,Nos,98906
2023-01-02,RideElectric LLP,"North ",EVS000023,E-Velo X1,85682,3,Nos,257046
2023-01-03,UrbanEV Wheels,West,EVS000044,EcoZoom Lite,119421,2,Nos,238842
2023-01-03,EcoMotion Pvt Ltd,"North ",EVS000040,SwiftVolt 100,85938,1,Nos,85938
2023-01-03,EcoMotion Pvt Ltd,West,EVS000046,Thunder EV 2.0,125795,1,Nos,125795
2023-01-03,NextGen Auto,East,EVS000039,SwiftVolt 100,104924,2,Nos,209848
2023-01-03,UrbanEV Wheels,South,EVS000033,EcoZoom Lite,125937,2,Nos,251874
2023-01-03,VoltWay Dealers,South,EVS000042,Thunder EV 2.0,122067,3,Nos,366201
2023-01-03,UrbanEV Wheels,West,EVS000041,EcoZoom Lite,99055,3,Nos,297165
2023-01-03,VoltWay Dealers,"North ",EVS000043,SwiftVolt 100,92651,2,Nos,185302
2023-01-03,EcoMotion Pvt Ltd,"North ",EVS000038,SwiftVolt 100,90647,3,Nos,271941
2023-01-03,UrbanEV Wheels,"North ",EVS000045,ChargeGo Pro,91885,1,Nos,91885
2023-01-03,RideElectric LLP,"North ",EVS000036,SwiftVolt 100,90155,2,Nos,180310
2023-01-03,UrbanEV Wheels,"North ",EVS000037,E-Velo X1,112405,1,Nos,112405
